"ASIN ID","ASIN","Client Account Name","Latest Title","Category","SubCategory","Segment","Manufacturer","Brand","Priority ASIN","Exclude from Reporting","Platform"
1625585,B000MXALJ0,Hyland's Inc,"Hylands Indigestion Tablets, 0.03 Pound"," "," "," "," "," "," "," ",amazon.com
1625613,B00UD29F9W,Hyland's Inc,"Hylands Bioplasma Cell Salts Tablets, 1000 tablets"," "," "," "," "," "," "," ",amazon.com
111345,B00006J3G5,Hyland's Inc,"Diaper Rash Ointment Cream Gel, Calendula by Hyland's, Natural Relief of Minor Skin Irritation, 2.5 Ounce",Baby,Skin Care,Calendula,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
112223,B00008CMQ2,Hyland's Inc,"Hyland's Natural Homeopathic Medicine and Remedies Starter Kit for Kids, 1 Kit",4 Kids,Allergies,Allergies,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
112227,B00008CQSY,Hyland's Inc,"Hyland's Natural Poison Ivy & Poison Oak Relief Tablets, 50 Quick Dissolving Tablets",Hyland's,Skin Care,Poison Ivy,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114252,B0000XOGFW,Hyland's Inc,Hyland's Leg Cramps Ointment 2.50 oz,Hyland's,Pain Relief,Leg Cramps,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114346,B00014EHFO,Hyland's Inc,"Hyland's Leg Cramps Tablets, Natural Relief of Calf, Leg and Foot Cramp, 50 Count",Hyland's,Pain Relief,Leg Cramps,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114352,B00014FGTK,Hyland's Inc,"Hyland's Nerve Tonic Stress Relief Tablets, Natural Relief of Restlessness, Nervousness and Irritability Symptoms, Non-Habit Forming, 500 Count",Hyland's,Stress & Sleep,Stress,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114354,B00014GDB0,Hyland's Inc,"Hyland's Nuage Natrum Mur Medication, 125 Count",Hyland's,Stress & Sleep,Cold,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114355,B00014H602,Hyland's Inc,"NuAge Homeopathic #10 Natrum Phosphoricum Tablets, Natural Relief of Acidity, Diarrhea, and Headaches, 125 Count",Hyland's,Single Remedies / Cell Salts,Diarrhea,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114356,B00014HGFC,Hyland's Inc,"Hyland's Hypericum Spray, 4 Fluid Ounce",Hyland's,Single Remedies / Cell Salts,Nerve Tension,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114358,B00014HS5K,Hyland's Inc,"Hyland's Nuage #4 Ferrum Phosphoricum 6X Tablets, Natural Relief of Colds, Fevers, Headaches, 125 Count",Hyland's,Stress & Sleep,Cold,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114359,B00014I5HU,Hyland's Inc,"Hyland's Bladder Irritation Relief Tablets, Natural Relief for Burning and Painful Urination, 50 Count",Hyland's,Pain Relief,Bladder,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114360,B00014I5MA,Hyland's Inc,"Nuage #7 Kali Sulphuricum 6X Tablets, Natural Relief of Cough, Earache, and Sinus Congestion, 125 Count",Hyland's,"Cough, Cold & Flu",Earache,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114361,B00014IDUE,Hyland's Inc,"Hyland's Nuage Natrum Sulph Pain Relieving Remedy, 125 Count",Hyland's,Pain Relief,Constipation,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114362,B00014IHN2,Hyland's Inc,"Cold and Flu Medicine, Nausea Relief, Homeopathic Treatment, Hyland's Cell Salts #11 Natrum Sulphuricum 6X Tablets, 1000 Count",Hyland's,Single Remedies / Cell Salts,Nausea,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114365,B00014IYIK,Hyland's Inc,"Cold Medicine and Sore Throat Relief, Natural Treatment of Colds, Sore Throats, Runny Nose, and Burns, Hyland's #5 Cell Salt Kali Muriaticum 6X Tablets, 1000 Count",Hyland's,Single Remedies / Cell Salts,Sore Throat,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114385,B00014WVKC,Hyland's Inc,"Hyland's Calendula Off 1X Ointment, 3.5 Ounce",Hyland's,Skin Care,Calendula,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114430,B00016X5D2,Hyland's Inc,"Hyland's Veratrum Album 6X Tablets, Natural Homeopathic Relief of Diarrhea or Vomiting, 250 Count",Hyland's,Single Remedies / Cell Salts,Diarrhea,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114431,B00016X5EG,Hyland's Inc,"Cough Medicine, Hyland's Phosphorus 30X Tablets, Homeopathic Cough Suppressant Medicine for Adults, 250 Count",Hyland's,"Cough, Cold & Flu",Cough,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114432,B00016X5F0,Hyland's Inc,"Hyland's Mercurius Vivus, 30X, 250 Tablets",Hyland's,Single Remedies / Cell Salts,Diarrhea,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114433,B00016X5G4,Hyland's Inc,"Hyland's Ignatia Amara 30X Tablets, Natural Relief of Simple Nervous Tension or Stomach Cramps, 250 Count",Hyland's,Single Remedies / Cell Salts,Nerve Tension,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114434,B00016X5GO,Hyland's Inc,"Cough and Cold Medicine, Natural Homeopathic Relief of Cough, Colds, and Skin Eruptions, Hyland's Hepar Sulphate 30X Tablets, 250 Count",Hyland's,Single Remedies / Cell Salts,Cough,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114435,B00016X5GY,Hyland's Inc,"Hyland's Gelsemium Semp, 30X, 250 Tablets",Hyland's,Single Remedies / Cell Salts,Headache,Hyland's Homeopathy,Hyland's,Yes," ",No Platform
114436,B00016X5HS,Hyland's Inc,"Hyland's Carbo Veg. 30X Tablets, Natural Homeopathic Relief of Nausea, Heartburn or Gas, 250 Count",Hyland's,Single Remedies / Cell Salts,Nausea,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
114437,B00016X5KU,Hyland's Inc,"Cough Medicine, Hyland's Spongia Tosta 6X Tablets, Homeopathic Cough Suppressant Medicine for Adults, 250 Count",Hyland's,"Cough, Cold & Flu",Cough,Hyland's Homeopathy,Hyland's,Yes," ",amazon.com
